================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
Pulse.Lib.FractionalAnchoredPreorder         61     61      +0       43.6      43.6      +0.0%       9.8     10.1
Pulse.Lib.GhostPCMReference                  20     20      +0        0.4       0.4      +0.0%       0.3      0.3
Pulse.Lib.GhostWitness                        5      5      +0        0.0       0.0      +0.0%       0.0      0.0
Pulse.Lib.Inv                                69     69      +0        1.0       1.0      +0.0%       0.7      0.5
Pulse.Lib.LinkedList.Iter                    12     12      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.MonotonicGhostRef                  58     58      +0        1.6       1.6      +0.0%       0.8      0.8
Pulse.Lib.Mutex                              14     14      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.PCM.Array                           4      4      +0        0.2       0.2      +0.0%       0.1      0.1
Pulse.Lib.PCM.Fraction                        6      6      +0        2.1       2.1      +0.0%       0.4      0.4
Pulse.Lib.PCM.FractionalPreorder             13     13      +0       19.8      19.8      +0.0%       4.1      3.9
Pulse.Lib.PCM.MonoidShares                    3      3      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.PCM.Product                         6      6      +0        1.4       1.4      +0.0%       0.4      0.3
Pulse.Lib.PCM.Raise                           4      4      +0        0.4       0.4      +0.0%       0.1      0.1
Pulse.Lib.PCMReference                       22     22      +0        0.4       0.4      +0.0%       0.3      0.3
Pulse.Lib.Pervasives                         10     10      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Pledge                            114    114      +0        1.5       1.5      +0.0%       0.8      0.9
Pulse.Lib.Primitives                         12     12      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Raise                               8      8      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.SLPropTable                        14     14      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Send                               71     71      +0        0.7       0.7      +0.0%       0.5      0.5
Pulse.Lib.SendableTrade                      14     14      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.SeqMatch                          332    332      +0        7.0       7.0      +0.0%       4.5      4.2
Pulse.Lib.SeqMatch.Util                      93     93      +0        1.2       1.2      +0.0%       0.8      0.7
Pulse.Lib.Shift                              21     21      +0        0.2       0.2      +0.0%       0.1      0.1
Pulse.Lib.Slice.Util                         46     46      +0        0.9       0.9      +0.0%       0.4      0.5
Pulse.Lib.Sort.Merge.Common                  11     11      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Lib.Spec.AVLTree                       37     37      +0       10.2      10.2      +0.0%       2.9      3.3
Pulse.Lib.SpinLock                           40     40      +0        0.7       0.7      +0.0%       0.5      0.5
Pulse.Lib.Swap.Common                        26     26      +0        0.6       0.6      +0.0%       0.3      0.4
Pulse.Lib.Tank                               20     20      +0        0.3       0.3      +0.0%       0.3      0.3
Pulse.Lib.TotalOrder                          1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Pulse.Lib.Trade                              26     26      +0        0.3       0.3      +0.0%       0.2      0.2
Pulse.Lib.Vec                                51     51      +0        0.4       0.4      +0.0%       0.3      0.3
Pulse.Lib.WhileLoop                           2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Pulse.Lib.WithPure                           27     27      +0        0.2       0.2      +0.0%       0.1      0.1
Pulse.PP                                      2      2      +0        0.0       0.0      +0.0%       0.0      0.1
Pulse.Readback                                4      4      +0        0.4       0.4      +0.0%       0.1      0.1
Pulse.Reflection.Util                         7      7      +0        0.4       0.4      +0.0%       0.2      0.2
Pulse.Show                                    4      4      +0        0.0       0.0      +0.0%       0.1      0.1
Pulse.Simplify                                7      7      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Syntax.Base                           113    113      +0        5.0       5.0      +0.0%       1.9      1.9
Pulse.Syntax.Builder                          5      5      +0        0.1       0.1      +0.0%       0.1      0.1
Pulse.Syntax.Printer                         21     21      +0        1.5       1.5      +0.0%       0.7      0.7
Pulse.Syntax.Pure                            28     28      +0        2.0       2.0      +0.0%       0.6      0.6
Pulse.VC                                     16     16      +0        0.2       0.2      +0.0%       0.3      0.3
PulseBug100                                   4      4      +0        0.1       0.1      +0.0%       0.3      0.4
Pure                                         10     10      +0        0.1       0.1      +0.0%       0.4      0.5
Quals                                         3      3      +0        0.1       0.1      +0.0%       0.3      0.4
Queens                                        6      6      +0        0.4       0.4      +0.0%       0.4      0.8
QuickSort.Array                               8      8      +0        6.9       6.9      +0.0%       4.6      5.2
QuickSort.List                               10     10      +0        1.0       1.0      +0.0%       0.7      0.7
QuickTest                                    36     36      +0        0.3       0.3      +0.0%       2.6      3.0
QuickTestNBE                                 36     36      +0        0.3       0.3      +0.0%       2.6      1.7
RBTree                                       25     25      +0        9.8       9.8      +0.0%       5.9      6.5
RW                                           29     29      +0        1.9       1.9      +0.0%       1.2      1.1
RW.RWI                                        3      3      +0        0.1       0.1      +0.0%       0.0      0.0
Raise                                         3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Raising                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
RandomTapes                                   4      4      +0        2.1       2.1      +0.0%       1.1      2.1
RangeOf                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.2
RecordCtor                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.2
RecordFieldAttributes                         3      3      +0        0.1       0.1      +0.0%       0.2      0.6
RecordFieldDisambiguation                     1      1      +0        0.0       0.0      +0.0%       0.1      0.1
RecordFieldOperator                           3      3      +0        0.0       0.0      +0.0%       0.3      0.3
RecordOfArrays                               16     16      +0        0.1       0.1      +0.0%       0.3      0.3
RecordOpen                                    4      4      +0        0.0       0.0      +0.0%       0.2      0.4
RecordWithRefs                                1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Records                                      14     14      +0        0.1       0.1      +0.0%       0.3      0.3
Recursive                                     4      4      +0        0.1       0.1      +0.0%       0.2      0.8
ReduceRecUnderMatch                           1      1      +0        0.0       0.0      +0.0%       0.2      0.2
RefNew                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Refinements                                   6      6      +0        0.0       0.0      +0.0%       0.2      0.2
ReflectionMisc                                1      1      +0        0.1       0.1      +0.0%       0.2      0.5
Registers.List                                4      4      +0        0.1       0.1      +0.0%       0.2      0.2
ReifyTest                                     1      1      +0        0.2       0.2      +0.0%       0.3      0.3
Rel                                           1      1      +0        0.0       0.0      +0.0%       0.1      0.2
RevealHideCoercions                           1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Rewrite.Monoid                                3      3      +0        0.0       0.0      +0.0%       0.2      0.2
RewriteNopWarning                             4      4      +0        0.0       0.0      +0.0%       0.3      0.7
RightFlexible                                 1      1      +0        0.0       0.0      +0.0%       0.1      0.1
RunST                                        53     53      +0        2.2       2.2      +0.0%       1.3      1.3
RunST.EFF                                     3      3      +0        0.0       0.0      +0.0%       0.0      0.0
Russell                                       3      3      +0        0.0       0.0      +0.0%       0.3      0.3
SMTEncoding                                   2      2      +0        0.0       0.0      +0.0%       0.2      0.2
SMTPatSymbols                                 3      3      +0        0.0       0.0      +0.0%       0.6      0.7
SMTSync                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.1
STLC.Infer                                   11     11      +0        0.2       0.2      +0.0%       0.5      0.5
ScopeOfBinderGuard                            1      1      +0        0.0       0.0      +0.0%       0.5      0.4
SealedModel                                   4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Sec1.GST                                      6      6      +0        0.1       0.1      +0.0%       0.2      0.2
Sec2.HIFC.HST                                 3      3      +0        0.0       0.0      +0.0%       0.0      0.0
SeqCalc                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
SeqLit                                        3      3      +0        0.1       0.1      +0.0%       0.8      0.9
Sequences                                     6      6      +0        0.1       0.1      +0.0%       0.7      0.7
SfBasic                                      57     57      +0        0.3       0.3      +0.0%       0.4      0.4
SfLists                                      70     70      +0        0.6       0.6      +0.0%       0.7      0.6
SfPoly                                       66     66      +0        1.1       1.1      +0.0%       1.0      1.0
ShortCircuitEffect                            1      1      +0        0.0       0.0      +0.0%       0.2      0.1
SigeltOpts                                    3      3      +0        0.1       0.1      +0.0%       0.1      0.1
SigeltOpts2                                   1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Simple                                        5      5      +0        0.1       0.1      +0.0%       0.3      0.4
Simple.Test                                   3      3      +0        0.0       0.0      +0.0%       0.2      0.2
SimplePrintf                                  9      9      +0        0.2       0.2      +0.0%       0.3      0.3
SimplePrintfReify                            12     12      +0        0.7       0.7      +0.0%       0.5      0.7
SimplifiedFStarSet                            8      8      +0        0.1       0.1      +0.0%       0.2      0.3
Simplifier                                    4      4      +0        0.0       0.0      +0.0%       0.2      0.3
SnapshotST                                   21     21      +0        0.4       0.4      +0.0%       0.3      0.3
Splice                                        4      4      +0        0.1       0.1      +0.0%       0.3      0.3
Splice2                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.2
SpliceVal                                     3      3      +0        0.1       0.1      +0.0%       0.5      0.9
Split                                         1      1      +0        0.0       0.0      +0.0%       0.1      0.2
StRel                                         4      4      +0        0.1       0.1      +0.0%       0.2      0.7
StackMachine                                 59     59      +0        1.3       1.3      +0.0%       1.0      1.0
State                                         1      1      +0        0.0       0.0      +0.0%       0.1      0.2
StatefulLens                                  9      9      +0        1.9       1.9      +0.0%       0.8      0.8
StlcCbvDbParSubst                            42     42      +0        3.2       3.2      +0.0%       1.7      1.8
StlcCbvDbPntSubstNoLists                     37     37      +0        1.0       1.0      +0.0%       0.7      0.7
StlcStrongDbParSubst                         52     52      +0        1.5       1.5      +0.0%       1.2      1.3
StrictUnfolding                              37     37      +0        0.5       0.5      +0.0%       3.5      3.5
StringNormalization                          20     20      +0        0.6       0.6      +0.0%       1.9      2.6
SyntaxBasics                                  1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Synthesis                                     8      8      +0        0.0       0.0      +0.0%       0.2      0.2
TReflGuards                                   2      2      +0        0.0       0.0      +0.0%       0.2      0.2
TWal1107                                      6      6      +0        0.0       0.0      +0.0%       0.3      0.4
Termination                                  24     24      +0        0.3       0.3      +0.0%       0.5      0.6
Test.Basic1                                   7      7      +0        0.1       0.1      +0.0%       0.2      0.2
Test.Break                                    4      4      +0        0.0       0.0      +0.0%       0.1      0.4
Test.CanonMonoid                              5      5      +0        0.0       0.0      +0.0%       0.2      0.6
Test.ConstantTime.Integers                    6      6      +0        0.1       0.1      +0.0%       0.2      0.9
Test.ConstantTimeIntegers                    12     12      +0        0.2       0.2      +0.0%       0.3      0.3
Test.IFC                                      6      6      +0        0.1       0.1      +0.0%       0.2      0.8
Test.Integers                                16     16      +0        0.4       0.4      +0.0%       0.4      0.4
Test.JoinInference                           18     18      +0        0.2       0.2      +0.0%       0.3      0.3
Test.Matcher                                 10     10      +0        0.1       0.1      +0.0%       0.4      0.5
Test.NBE                                      5      5      +0        0.0       0.0      +0.0%       0.3      0.6
Test.Printf                                   2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Test.Real                                    22     22      +0        0.1       0.1      +0.0%       0.3      0.4
Test.Recursion                               44     44      +0        0.4       0.4      +0.0%       0.7      1.5
Test.TypeRepr                                10     10      +0        0.1       0.1      +0.0%       0.2      0.3
TestBV                                       11     11      +0        0.0       0.0      +0.0%       0.2      0.2
TestBadDec                                    3      3      +0        0.0       0.0      +0.0%       0.2      0.2
TestGhost                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.3
TestHasEq                                    44     44      +0        0.2       0.2      +0.0%       1.4      2.0
TestHeap                                      5      5      +0        0.0       0.0      +0.0%       0.2      0.2
TestHoareST                                  10     10      +0        0.0       0.0      +0.0%       0.3      0.3
TestImmutableArray                            4      4      +0        0.0       0.0      +0.0%       0.2      0.4
TestMRef                                      9      9      +0        0.3       0.3      +0.0%       0.3      0.3
TestPrint                                     4      4      +0        1.8       1.8      +0.0%       0.9      0.9
TestPrintable                                 1      1      +0        0.0       0.0      +0.0%       0.0      0.0
TestQueue                                     7      7      +0        0.4       0.4      +0.0%       0.4      0.4
TestST                                        9      9      +0        0.1       0.1      +0.0%       0.3      0.4
TestST.ST                                     3      3      +0        0.0       0.0      +0.0%       0.0      0.0
TestSealed                                    5      5      +0        0.1       0.1      +0.0%       0.2      0.4
TestSeq                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
TestSet                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.3
TestTwoLevelHeap                              1      1      +0        0.1       0.1      +0.0%       0.2      0.5
Tests                                         3      3      +0        0.1       0.1      +0.0%       0.2      0.2
TopLevelIndexedEffects                        3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Trace                                        11     11      +0        0.3       0.3      +0.0%       0.4      0.5
Trans                                         1      1      +0        0.0       0.0      +0.0%       0.2      0.2
TransparentMap                                5      5      +0        0.0       0.0      +0.0%       0.2      0.2
TupleFun                                      3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Tutorial                                     10     10      +0        0.0       0.0      +0.0%       0.8      0.8
TypeclassesAlt                               14     14      +0        1.5       1.5      +0.0%       1.3      1.2
TypeclassesWithRefinements                    1      1      +0        0.0       0.0      +0.0%       0.1      0.1
UInt32                                       15     15      +0        0.1       0.1      +0.0%       0.4      0.4
UInt32BV                                     16     16      +0        0.2       0.2      +0.0%       0.5      0.5
Unfold                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.2
UnfoldArgs                                    2      2      +0        0.0       0.0      +0.0%       0.2      0.2
UnfoldFst                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.2
UnicodeOperators                              1      1      +0        0.0       0.0      +0.0%       0.1      0.4
UnificationCrash                              1      1      +0        0.0       0.0      +0.0%       0.2      0.1
UnificationVariableEscapes                   24     24      +0        0.4       0.4      +0.0%       0.4      0.5
UnifierArith                                  1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Unify                                         2      2      +0        0.0       0.0      +0.0%       0.3      0.4
UnifyMatch                                    6      6      +0        0.0       0.0      +0.0%       0.2      0.2
UnifyRefs                                    12     12      +0        0.0       0.0      +0.0%       0.2      0.4
UnifyReify                                    1      1      +0        0.0       0.0      +0.0%       0.1      0.4
Unit1.Basic                                  64     64      +0        0.6       0.6      +0.0%       0.9      0.9
Unit1.Parser                                  1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Unit1.Projectors1                             5      5      +0        0.0       0.0      +0.0%       0.2      0.2
Unit1.RecursiveTypeFunctions                 12     12      +0        0.1       0.1      +0.0%       0.4      1.2
Unit1.TopLevelPats                            4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Unit1.UnificationTests                        3      3      +0        0.0       0.0      +0.0%       0.3      1.4
Unit1.WPsAndTriples                           6      6      +0        0.0       0.0      +0.0%       0.2      0.2
Unit1.WPsAndTriples_ST                        1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Unit2                                        20     20      +0        0.1       0.1      +0.0%       1.0      1.1
UnitTests                                    14     14      +0        0.1       0.1      +0.0%       0.2      0.6
Universes                                    15     15      +0        0.0       0.0      +0.0%       0.2      0.2
Univs                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.1
UnreachableJoin                               5      5      +0        0.0       0.0      +0.0%       0.2      0.2
UnrefineAttr                                  2      2      +0        0.0       0.0      +0.0%       0.1      0.4
UserTactics                                  18     18      +0        0.1       0.1      +0.0%       0.2      0.3
ValLetRec                                     4      4      +0        0.0       0.0      +0.0%       0.3      0.5
VariantsWithRecords                          20     20      +0        0.1       0.1      +0.0%       0.3      0.3
Vec                                          31     31      +0        0.5       0.5      +0.0%       0.8      0.9
VecAlloc                                      2      2      +0        0.0       0.0      +0.0%       0.2      0.1
VecErased                                     6      6      +0        0.1       0.1      +0.0%       0.2      0.2
VecErasedExplicit                             6      6      +0        0.1       0.1      +0.0%       0.2      0.2
Vector                                       18     18      +0        0.2       0.2      +0.0%       0.3      0.3
WarnOnUse                                     1      1      +0        0.0       0.0      +0.0%       0.2      0.1
While                                        21     21      +0        0.2       0.2      +0.0%       0.4      1.0
Wild                                          1      1      +0        0.0       0.0      +0.0%       0.2      0.2
WithPureTest                                  6      6      +0        0.0       0.0      +0.0%       0.2      0.1
WorkingWithSquashedProofs                     5      5      +0        0.0       0.0      +0.0%       0.0      0.0
X64.Machine_s                                20     20      +0        0.1       0.1      +0.0%       0.3      0.4
X64.Poly1305.Bitvectors_i                   171    171      +0       12.3      12.3      +0.0%       7.8      8.4
X64.Poly1305.Spec_s                           4      4      +0        1.3       1.3      +0.0%       1.1      1.1
X64.Print_s                                  12     12      +0        0.3       0.3      +0.0%       0.3      0.4
X64.Semantics_s                              59     59      +0        3.3       3.3      +0.0%       2.2      2.7
X64.Vale.Lemmas_i                            14     14      +0        0.5       0.5      +0.0%       0.8      0.7
X64.Vale.Regs_i                               2      2      +0        0.0       0.0      +0.0%       0.2      0.2
X64.Vale.StateLemmas_i                       19     19      +0        0.9       0.9      +0.0%       0.8      0.8
X64.Vale.State_i                              5      5      +0        0.1       0.1      +0.0%       0.3      0.3
RewriteEachUnfold                             6      6      +0        0.0       0.0      +0.0%       0.3      0.4
Ex04b                                         5      5      +0        0.1       0.1      +0.0%       0.4      0.4
Ex04e                                        13     13      +0        0.1       0.1      +0.0%       0.4      0.4
Ex05a                                        11     11      +0        0.2       0.2      +0.0%       0.4      0.4
Effects.Def                                  32     32      +0        3.7       3.7      +0.0%       1.6      1.6
Pulse.Lib.GhostReference                     42     42      +0        1.2       1.2      +0.1%       0.5      0.6
Typeclasses                                  14     14      +0        1.0       1.0      +0.1%       0.8      1.0
FStar.DM4F.Random                            32     32      +0        0.4       0.4      +0.2%       0.6      0.6
FStar.ReflexiveTransitiveClosure             22     22      +0        0.4       0.4      +0.3%       0.2      0.2
InjectiveTypeFormers.Explicit                 5      5      +0        0.0       0.0      +4.0%       0.5      0.5
Sec2.HIFC.HIFC                                3      3      +0        0.2       0.2      +0.6%       0.1      0.1
TwoPhaseTC                                   14     14      +0        0.1       0.1      +1.2%       0.4      1.0
LatticeEff                                   24     24      +0        0.9       0.9      +0.1%       0.6      0.7
TestCasts                                     1      1      +0        2.0       2.0      +0.1%       1.9      1.9
Pulse.Lib.RingBuffer                         93     93      +0        7.8       7.8      +0.0%       2.4      2.5
Bug2496                                       6      6      +0        0.2       0.2      +1.3%       0.9      1.0
ReifyTestTSST                                 6      6      +0        0.2       0.2      +1.2%       0.5      0.5
Pulse.Syntax.Naming                         131    131      +0       68.0      68.0      +0.0%      19.8     20.6
NegativeTests.Positivity                     19     20      +1        0.1       0.1      +4.3%       1.0      1.4
ImmutableSTwHeaps                             9      9      +0        0.1       0.1      +3.7%       0.2      0.3
Ariadne                                      26     26      +0        1.4       1.4      +0.3%       0.8      0.9
FStar.FiniteMap.Base                         41     41      +0        1.4       1.4      +0.3%       0.7      0.7
Pulse.Lib.Slice                             106    106      +0        2.0       2.0      +0.3%       1.0      1.1
FStar.Seq.Permutation                        52     52      +0        8.7       8.7      +0.1%       3.4      3.2
Test.FunctionalExtensionality                23     24      +1        0.4       0.4      +2.8%       0.7      1.0
Pulse.Recursion                               8      8      +0        3.7       3.7      +0.3%       0.8      0.8
Pulse.Lib.PCM.Map                            13     13      +0        1.0       1.0      +1.4%       0.4      0.4
Pulse.Lib.GhostFractionalTable               48     48      +0        2.1       2.2      +0.8%       0.9      1.0
FStar.UInt128                               250    250      +0       36.2      36.2      +0.1%      13.6     15.0
Pulse.Lib.Array                              77     77      +0        4.7       4.7      +0.6%       2.0      2.1
Pulse.Lib.Task                              264    264      +0        8.8       8.8      +0.4%       3.8      3.9
BinaryTreesEnumeration                       41     41      +0        2.6       2.7      +1.4%       2.6      3.1
Pulse.Checker.Return                          4      4      +0        9.0       9.0      +0.5%       1.6      1.5
PatternMa(AlgWP                               0      1      +1        0.0       0.1      +0.0%       0.0      0.2
Pulse.Lib.LinkedList                        254    254      +0        9.8       9.9      +0.7%       3.1      4.0
FStar.Fin                                    26     26      +0        2.0       2.2      +6.4%       0.8      0.8
Pulse.Class.BoundedIntegers                  28     28      +0        1.9       2.1      +8.5%       1.6      1.8
IfcDelimitedRelease                          29     29      +0        3.5       3.7      +5.6%       3.2      9.3
TypeclassesAlt3                              15     15      +0        3.0       3.3     +12.0%       2.2      2.8
LambdaOmega                                 237    237      +0        9.9      10.3      +3.7%       6.4      7.0
FStar.UInt                                  511    511      +0       44.5      45.0      +1.0%      18.0     18.1
LeftistHeap                                  91     91      +0        5.5       6.0      +9.5%       3.5      4.4
Ex06d                                        12     12      +0        1.3       2.1     +57.7%       0.9      1.6
Pulse.Checker.Prover.Substs                  54     54      +0        4.7       5.5     +18.1%       1.7      1.9
Pulse.Lib.Swap.Spec                          54     54      +0        5.9       6.9     +16.3%       1.7      1.9
FStar.BitVector                             128    128      +0        7.3       8.5     +16.8%       2.0      2.4
AlgForAll                                    29     29      +0        6.1       7.7     +25.5%       5.6     12.5
Pulse.Lib.RWLock                            186    186      +0       11.3      13.1     +15.5%       4.9      6.4
Pulse.Lib.Array.Core                        209    209      +0       31.8      33.9      +6.6%      10.9     12.4
X64.Poly1305.Math_i                          49     49      +0        1.5       3.7    +138.1%       2.0      4.5
PulseCore.Preorder                           53     53      +0       27.6      29.9      +8.5%       5.9      6.5
FStar.Matrix                                216    216      +0       60.7      63.8      +5.1%      15.9     17.3
Lib.Vec.Lemmas                              100    100      +0       18.6      22.4     +20.5%       9.5     10.5
Pulse.Lib.HashTable                         411    411      +0       82.8      87.8      +6.0%      20.7     20.9
X64.Vale.Decls                               50     50      +0       95.6     102.2      +6.9%      81.9    115.1
--------------------------------------------------------------------------------------------------------------
TOTAL                                     25889  25864     -25     2776.6    2642.0      -4.8%    1454.5   1724.4
