================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
AlgWP.AlgWP                                   3      3      +0        0.1       0.1      +0.0%       0.1      0.1
AllocST                                      13     13      +0        0.1       0.1      +0.0%       0.2      0.2
AnnoyingVCs                                   2      2      +0        0.0       0.0      +0.0%       0.0      0.0
ApplicationUnparenthesisedRecord              4      4      +0        0.0       0.0      +0.0%       0.2      0.6
Arith                                        41     41      +0        0.6       0.6      +0.0%       1.4      1.6
Array                                         5      5      +0        0.0       0.0      +0.0%       0.2      0.3
ArrayRealized                                13     13      +0        0.1       0.1      +0.0%       0.2      0.3
ArrayTests                                  180    180      +0        5.1       5.1      +0.0%       3.2      7.0
Asm1                                         13     13      +0        0.5       0.5      +0.0%       0.5      0.4
Asm2                                          1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Automation                                    9      9      +0        0.0       0.0      +0.0%       0.2      0.2
BQual                                         2      2      +0        0.0       0.0      +0.0%       0.1      0.1
BUGSLowParseWriters                           9      9      +0        0.1       0.1      +0.0%       0.4      0.4
BUGSLowParseWriters.ERead                     3      3      +0        0.0       0.0      +0.0%       0.0      0.0
BV                                           48     48      +0        0.4       0.4      +0.0%       0.5      0.5
BV.Test                                      12     12      +0        0.0       0.0      +0.0%       0.2      0.2
BVExtend                                      4      4      +0        8.4       8.4      +0.0%       1.7      7.1
Backtracking                                  4      4      +0        0.0       0.0      +0.0%       0.1      0.1
BasicTests                                    5      5      +0        0.0       0.0      +0.0%       0.2      0.2
Benton2004.Aux                                1      1      +0        0.0       0.0      +0.0%       0.2      0.5
