================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               912.7        978.7      +66.0 (+7.2%)
Z3 time (s)                1595.7       1546.5      -49.3 (-3.1%)
Z3 rlimit                  2763.5       2646.4     -117.1 (-4.2%)
Queries                     26189        26163        -26 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
ApplicationUnparenthesisedRecord              4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Arith                                        41     41      +0        0.6       0.6      +0.0%       1.5      1.6
Array                                         5      5      +0        0.0       0.0      +0.0%       0.2      0.3
ArrayRealized                                13     13      +0        0.1       0.1      +0.0%       0.2      0.2
ArrayTests                                  180    180      +0        5.1       5.1      +0.0%       3.5      3.4
Asm1                                         13     13      +0        0.5       0.5      +0.0%       0.4      0.5
Asm2                                          1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Automation                                    9      9      +0        0.0       0.0      +0.0%       0.2      0.1
BQual                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.1
BUGSLowParseWriters                           9      9      +0        0.1       0.1      +0.0%       0.4      0.4
BUGSLowParseWriters.ERead                     3      3      +0        0.0       0.0      +0.0%       0.0      0.0
BV                                           48     48      +0        0.4       0.4      +0.0%       0.5      0.6
BV.Test                                      12     12      +0        0.0       0.0      +0.0%       0.2      0.3
BVExtend                                      4      4      +0        8.4       8.4      +0.0%       2.2      1.6
Backtracking                                  4      4      +0        0.0       0.0      +0.0%       0.1      0.1
BasicTests                                    5      5      +0        0.0       0.0      +0.0%       0.1      0.2
Benton2004.Aux                                1      1      +0        0.0       0.0      +0.0%       0.1      0.1
BigList                                       1      1      +0        0.2       0.2      +0.0%       0.4      0.4
Bijection                                     1      1      +0        0.0       0.0      +0.0%       0.2      0.2
BinarySearchTree                              9      9      +0        0.4       0.4      +0.0%       0.3      0.3
BinarySearchTree0                             6      6      +0        0.0       0.0      +0.0%       0.2      0.2
BinarySearchTreeBasic                        22     22      +0        7.7       7.7      +0.0%       5.1      4.7
BinarySearchTreeFirst                         5      5      +0        0.2       0.2      +0.0%       0.2      0.3
BinaryTrees                                  46     46      +0        1.2       1.2      +0.0%       1.1      1.0
BinderAttributes                             12     12      +0        0.1       0.1      +0.0%       0.2      0.2
BoxBitVec                                     2      2      +0        0.0       0.0      +0.0%       0.3      0.1
Branch                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Break                                        60     60      +0        1.5       1.5      +0.0%       1.2      1.1
Bug.Invariants                               10     10      +0        0.1       0.1      +0.0%       0.3      0.3
Bug019                                        5      5      +0        0.1       0.1      +0.0%       0.3      0.6
Bug022                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug024                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug025                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug026                                        8      8      +0        0.2       0.2      +0.0%       0.4      0.4
Bug026b                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug043                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug044                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug052                                        3      3      +0        0.0       0.0      +0.0%       0.4      0.3
Bug058                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug058b                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug067                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug077                                        5      5      +0        0.0       0.0      +0.0%       0.5      0.3
Bug102                                        5      5      +0        0.0       0.0      +0.0%       0.4      0.4
Bug102b                                       4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1055                                       3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug1070                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1074                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.4
Bug1076                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1097                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug11                                         5      5      +0        0.0       0.0      +0.0%       0.2      0.2
Bug110                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1106                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1141b.MyTot                                1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1150                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug116                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1191                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug120                                        3      3      +0        0.0       0.0      +0.0%       0.3      0.4
Bug124                                        1      1      +0        0.0       0.0      +0.0%       0.5      0.5
Bug125                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1252                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug126                                       28     28      +0        0.2       0.2      +0.0%       0.3      0.3
Bug1270                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1271                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1299                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug13                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1319b                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1341                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug1345b                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1348                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug1361                                       2      2      +0        0.0       0.0      +0.0%       0.5      0.2
Bug1362                                       5      5      +0        0.1       0.1      +0.0%       0.3      0.4
Bug137                                        3      3      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1370a                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1370b.Good4                                1      1      +0        0.0       0.0      +0.0%       0.6      0.3
Bug138                                        4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1390                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1414                                       6      6      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1418                                       5      5      +0        0.0       0.0      +0.0%       0.5      0.4
Bug1423                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1427                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug143                                        3      3      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1449                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1470                                       3      3      +0        0.0       0.0      +0.0%       0.5      0.5
Bug1480                                      14     14      +0        0.1       0.1      +0.0%       0.3      0.3
Bug1481                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Bug152                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1521                                      15     15      +0        0.1       0.1      +0.0%       0.2      0.2
Bug1533                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1534                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1535a                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1535b                                      5      5      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1536                                       4      4      +0        0.0       0.0      +0.0%       0.2      0.3
Bug155                                        4      4      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1571                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1595                                       8      8      +0        0.1       0.1      +0.0%       0.8      0.5
Bug1601                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.1
Bug1604                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1605                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.2
Bug161                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1612                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.2
Bug1614a                                      8      8      +0        0.0       0.0      +0.0%       1.4      0.9
Bug1614d                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug1614f                                      2      2      +0        0.0       0.0      +0.0%       0.8      0.7
Bug162                                        1      1      +0        3.4       3.4      +0.0%      12.4     10.8
Bug1622                                       3      3      +0        0.0       0.0      +0.0%       0.4      0.3
Bug1680                                      11     11      +0        3.0       3.0      +0.0%       0.9      1.8
Bug1682                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug171                                        9      9      +0        0.4       0.4      +0.0%       1.1      0.7
Bug1714                                       5      5      +0        0.0       0.0      +0.0%       0.3      0.4
Bug173                                       40     40      +0        1.6       1.6      +0.0%       1.1      1.1
Bug1730b                                      1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug175                                        8      8      +0        0.0       0.0      +0.0%       0.4      0.4
Bug1750                                       5      5      +0        0.0       0.0      +0.0%       0.0      0.0
Bug177                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug1799                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug184                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug1840                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug184Eta                                     1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug185                                        2      2      +0        0.0       0.0      +0.0%       0.3      0.5
Bug1855                                       1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Bug186                                        2      2      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1866                                       2      2      +0        0.1       0.1      +0.0%       0.3      0.6
Bug186b                                      20     20      +0        0.2       0.2      +0.0%       0.6      0.6
Bug187                                        2      2      +0        0.0       0.0      +0.0%       0.4      0.6
Bug190                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.1
Bug1901                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1902                                       5      5      +0        0.2       0.2      +0.0%       1.5      0.4
Bug1903                                       1      1      +0        0.0       0.0      +0.0%       0.0      0.0
Bug1918                                       6      6      +0        0.0       0.0      +0.0%       0.7      0.8
Bug193                                        4      4      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1936                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.3
Bug1940a                                      4      4      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1940b                                      2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1954                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1966a                                      6      6      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1986                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug2031                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.5
Bug2055                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.5
Bug2057                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.4
Bug2058                                       1      1      +0        0.0       0.0      +0.0%       0.4      0.1
Bug2066                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug2069                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.4
Bug2083                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.3
Bug210                                        2      2      +0        0.0       0.0      +0.0%       0.5      0.5
Bug2106                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug210b                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2125b                                      3      3      +0        0.1       0.1      +0.0%       0.4      0.6
Bug213                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2138                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug2169                                      19     19      +0        0.6       0.6      +0.0%       1.8      1.9
Bug2169.ND                                    3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug2169b                                     12     12      +0        0.1       0.1      +0.0%       0.3      0.2
Bug2169b.ND                                   3      3      +0        0.0       0.0      +0.0%       0.0      0.0
Bug2172                                       3      3      +0        0.0       0.0      +0.0%       0.2      0.1
Bug2184                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2189                                       2      2      +0        0.0       0.0      +0.0%       0.0      0.0
Bug2210                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.6
Bug2257                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug2269                                       3      3      +0        0.0       0.0      +0.0%       0.6      0.3
Bug2331                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug2352                                       4      4      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2366                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.5
Bug2374                                       4      4      +0        0.0       0.0      +0.0%       0.1      0.2
Bug237b                                       5      5      +0        0.0       0.0      +0.0%       0.2      0.1
Bug238                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug2398                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2412                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.2
Bug2414                                       3      3      +0        0.0       0.0      +0.0%       0.4      0.5
Bug2415                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2422                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2432                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug2456                                       7      7      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2475                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug251                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug254                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2552                                       1      1      +0        0.0       0.0      +0.0%       0.5      0.3
Bug2572                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug258                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug2591b                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2595                                      17     17      +0        0.1       0.1      +0.0%       0.2      0.3
Bug2596                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug2596b                                      2      2      +0        0.0       0.0      +0.0%       0.6      0.3
Bug260                                        6      6      +0        0.0       0.0      +0.0%       0.3      0.4
Bug2601                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug262                                        2      2      +0        0.1       0.1      +0.0%       0.3      0.4
Bug2635                                      18     18      +0        0.1       0.1      +0.0%       0.4      0.2
Bug2637                                       4      4      +0        0.0       0.0      +0.0%       0.1      0.2
Bug264                                        1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug2641                                      18     18      +0        0.5       0.5      +0.0%       1.5      1.8
Bug2641.FREEwp                                3      3      +0        0.0       0.0      +0.0%       0.0      0.0
Bug2659b                                      7      7      +0        0.0       0.0      +0.0%       0.3      0.3
Bug267                                       16     16      +0        0.2       0.2      +0.0%       0.4      0.4
